order,prefecture,city,kana_prefecture,kana_municipality
010006,北海道,,ホッカイドウ,
011002,北海道,札幌市,ホッカイドウ,サッポロシ
012025,北海道,函館市,ホッカイドウ,ハコダテシ
012033,北海道,小樽市,ホッカイドウ,オタルシ
012041,北海道,旭川市,ホッカイドウ,アサヒカワシ
012050,北海道,室蘭市,ホッカイドウ,ムロランシ
012068,北海道,釧路市,ホッカイドウ,クシロシ
012076,北海道,帯広市,ホッカイドウ,オビヒロシ
012084,北海道,北見市,ホッカイドウ,キタミシ
012092,北海道,夕張市,ホッカイドウ,ユウバリシ
012106,北海道,岩見沢市,ホッカイドウ,イワミザワシ
012114,北海道,網走市,ホッカイドウ,アバシリシ
012122,北海道,留萌市,ホッカイドウ,ルモイシ
012131,北海道,苫小牧市,ホッカイドウ,トマコマイシ
012149,北海道,稚内市,ホッカイドウ,ワッカナイシ
012157,北海道,美唄市,ホッカイドウ,ビバイシ
012165,北海道,芦別市,ホッカイドウ,アシベツシ
012173,北海道,江別市,ホッカイドウ,エベツシ
012181,北海道,赤平市,ホッカイドウ,アカビラシ
012190,北海道,紋別市,ホッカイドウ,モンベツシ
012203,北海道,士別市,ホッカイドウ,シベツシ
012211,北海道,名寄市,ホッカイドウ,ナヨロシ
012220,北海道,三笠市,ホッカイドウ,ミカサシ
012238,北海道,根室市,ホッカイドウ,ネムロシ
012246,北海道,千歳市,ホッカイドウ,チトセシ
012254,北海道,滝川市,ホッカイドウ,タキカワシ
012262,北海道,砂川市,ホッカイドウ,スナガワシ
012271,北海道,歌志内市,ホッカイドウ,ウタシナイシ
012289,北海道,深川市,ホッカイドウ,フカガワシ
012297,北海道,富良野市,ホッカイドウ,フラノシ
012301,北海道,登別市,ホッカイドウ,ノボリベツシ
012319,北海道,恵庭市,ホッカイドウ,エニワシ
012335,北海道,伊達市,ホッカイドウ,ダテシ
012343,北海道,北広島市,ホッカイドウ,キタヒロシマシ
012351,北海道,石狩市,ホッカイドウ,イシカリシ
012360,北海道,北斗市,ホッカイドウ,ホクトシ
013030,北海道,当別町,ホッカイドウ,トウベツチョウ
013048,北海道,新篠津村,ホッカイドウ,シンシノツムラ
013315,北海道,松前町,ホッカイドウ,マツマエチョウ
013323,北海道,福島町,ホッカイドウ,フクシマチョウ
013331,北海道,知内町,ホッカイドウ,シリウチチョウ
013340,北海道,木古内町,ホッカイドウ,キコナイチョウ
013374,北海道,七飯町,ホッカイドウ,ナナエチョウ
013439,北海道,鹿部町,ホッカイドウ,シカベチョウ
013455,北海道,森町,ホッカイドウ,モリマチ
013463,北海道,八雲町,ホッカイドウ,ヤクモチョウ
013471,北海道,長万部町,ホッカイドウ,オシャマンベチョウ
013617,北海道,江差町,ホッカイドウ,エサシチョウ
013625,北海道,上ノ国町,ホッカイドウ,カミノクニチョウ
013633,北海道,厚沢部町,ホッカイドウ,アッサブチョウ
013641,北海道,乙部町,ホッカイドウ,オトベチョウ
013676,北海道,奥尻町,ホッカイドウ,オクシリチョウ
013706,北海道,今金町,ホッカイドウ,イマカネチョウ
013714,北海道,せたな町,ホッカイドウ,セタナチョウ
013919,北海道,島牧村,ホッカイドウ,シママキムラ
013927,北海道,寿都町,ホッカイドウ,スッツチョウ
013935,北海道,黒松内町,ホッカイドウ,クロマツナイチョウ
013943,北海道,蘭越町,ホッカイドウ,ランコシチョウ
013951,北海道,ニセコ町,ホッカイドウ,ニセコチョウ
013960,北海道,真狩村,ホッカイドウ,マッカリムラ
013978,北海道,留寿都村,ホッカイドウ,ルスツムラ
013986,北海道,喜茂別町,ホッカイドウ,キモベツチョウ
013994,北海道,京極町,ホッカイドウ,キョウゴクチョウ
014001,北海道,倶知安町,ホッカイドウ,クッチャンチョウ
014010,北海道,共和町,ホッカイドウ,キョウワチョウ
014028,北海道,岩内町,ホッカイドウ,イワナイチョウ
014036,北海道,泊村,ホッカイドウ,トマリムラ
014044,北海道,神恵内村,ホッカイドウ,カモエナイムラ
014052,北海道,積丹町,ホッカイドウ,シャコタンチョウ
014061,北海道,古平町,ホッカイドウ,フルビラチョウ
014079,北海道,仁木町,ホッカイドウ,ニキチョウ
014087,北海道,余市町,ホッカイドウ,ヨイチチョウ
014095,北海道,赤井川村,ホッカイドウ,アカイガワムラ
014231,北海道,南幌町,ホッカイドウ,ナンポロチョウ
014249,北海道,奈井江町,ホッカイドウ,ナイエチョウ
014257,北海道,上砂川町,ホッカイドウ,カミスナガワチョウ
014273,北海道,由仁町,ホッカイドウ,ユニチョウ
014281,北海道,長沼町,ホッカイドウ,ナガヌマチョウ
014290,北海道,栗山町,ホッカイドウ,クリヤマチョウ
014303,北海道,月形町,ホッカイドウ,ツキガタチョウ
014311,北海道,浦臼町,ホッカイドウ,ウラウスチョウ
014320,北海道,新十津川町,ホッカイドウ,シントツカワチョウ
014338,北海道,妹背牛町,ホッカイドウ,モセウシチョウ
014346,北海道,秩父別町,ホッカイドウ,チップベツチョウ
014362,北海道,雨竜町,ホッカイドウ,ウリュウチョウ
014371,北海道,北竜町,ホッカイドウ,ホクリュウチョウ
014389,北海道,沼田町,ホッカイドウ,ヌマタチョウ
014524,北海道,鷹栖町,ホッカイドウ,タカスチョウ
014532,北海道,東神楽町,ホッカイドウ,ヒガシカグラチョウ
014541,北海道,当麻町,ホッカイドウ,トウマチョウ
014559,北海道,比布町,ホッカイドウ,ピップチョウ
014567,北海道,愛別町,ホッカイドウ,アイベツチョウ
014575,北海道,上川町,ホッカイドウ,カミカワチョウ
014583,北海道,東川町,ホッカイドウ,ヒガシカワチョウ
014591,北海道,美瑛町,ホッカイドウ,ビエイチョウ
014605,北海道,上富良野町,ホッカイドウ,カミフラノチョウ
014613,北海道,中富良野町,ホッカイドウ,ナカフラノチョウ
014621,北海道,南富良野町,ホッカイドウ,ミナミフラノチョウ
014630,北海道,占冠村,ホッカイドウ,シムカップムラ
014648,北海道,和寒町,ホッカイドウ,ワッサムチョウ
014656,北海道,剣淵町,ホッカイドウ,ケンブチチョウ
014681,北海道,下川町,ホッカイドウ,シモカワチョウ
014699,北海道,美深町,ホッカイドウ,ビフカチョウ
014702,北海道,音威子府村,ホッカイドウ,オトイネップムラ
014711,北海道,中川町,ホッカイドウ,ナカガワチョウ
014729,北海道,幌加内町,ホッカイドウ,ホロカナイチョウ
014818,北海道,増毛町,ホッカイドウ,マシケチョウ
014826,北海道,小平町,ホッカイドウ,オビラチョウ
014834,北海道,苫前町,ホッカイドウ,トママエチョウ
014842,北海道,羽幌町,ホッカイドウ,ハボロチョウ
014851,北海道,初山別村,ホッカイドウ,ショサンベツムラ
014869,北海道,遠別町,ホッカイドウ,エンベツチョウ
014877,北海道,天塩町,ホッカイドウ,テシオチョウ
015113,北海道,猿払村,ホッカイドウ,サルフツムラ
015121,北海道,浜頓別町,ホッカイドウ,ハマトンベツチョウ
015130,北海道,中頓別町,ホッカイドウ,ナカトンベツチョウ
015148,北海道,枝幸町,ホッカイドウ,エサシチョウ
015164,北海道,豊富町,ホッカイドウ,トヨトミチョウ
015172,北海道,礼文町,ホッカイドウ,レブンチョウ
015181,北海道,利尻町,ホッカイドウ,リシリチョウ
015199,北海道,利尻富士町,ホッカイドウ,リシリフジチョウ
015202,北海道,幌延町,ホッカイドウ,ホロノベチョウ
015431,北海道,美幌町,ホッカイドウ,ビホロチョウ
015440,北海道,津別町,ホッカイドウ,ツベツチョウ
015458,北海道,斜里町,ホッカイドウ,シャリチョウ
015466,北海道,清里町,ホッカイドウ,キヨサトチョウ
015474,北海道,小清水町,ホッカイドウ,コシミズチョウ
015491,北海道,訓子府町,ホッカイドウ,クンネップチョウ
